name,link
HOAVANTHEGIOI,http://youtube.com/channel/UCgMT7XTJ_nsLXrdO49QtIaQ
user-lz7ir7tk4h,http://youtube.com/channel/UCPHTCQ35nZUThnCPVvDhgNQ
Gumardee_coins_and_banknotes,http://youtube.com/channel/UC_Axpq-6ezwfs5r4wAPuaQw
binvested,http://youtube.com/channel/UCiPDTY6a8aqZDkdrOsLHBxA
FinderAU,http://youtube.com/channel/UCPCKY8hgfBSGgD4KmPUTxtw
billturner7554,http://youtube.com/channel/UCf7Oia88Vm4NTgg0w9NPi5A
jackparrotta,http://youtube.com/channel/UCho00HeVV8eRjq4ry3T4WaQ
BIGWaustralia,http://youtube.com/channel/UCq5xw8XaNrscyHVqzxImkTw
MrSimplesimon1987,http://youtube.com/channel/UCg9qbhaZCkAeVqaQPS14NtA
PuKyongNationalUniversity,http://youtube.com/channel/UCRFAob4JG1CSBEsacqaRkww
EthanRooshock,http://youtube.com/channel/UCfkKxstgUYO1mXRXkbnyuWw
geosnapshot1393,http://youtube.com/channel/UCJFgWrSmHaNtW0QXo16lzlQ
user-wv2cg2pt8m,http://youtube.com/channel/UCTp9j2e0ukhO3KgJLnD6M7g
BUVietnam,http://youtube.com/channel/UC87bfQKb66j7EEYcfhuRFKg
FPVAustralia,http://youtube.com/channel/UCFEkmWTBv94diK9lTAIjGww
