channel_name,channel_link
"National Geographic | Science, Exploration And Adventure",https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A
TED-Ed - Lessons Worth Sharing,https://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA
Vox - Explain the news,https://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA
Vsauce,https://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA
Kurzgesagt,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
History channel | Documentary Programs And Historical Fiction Series,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ
Animal Planet,https://www.youtube.com/channel/UCkEBDbzLyH-LbB2FgMoSMaQ
Scishow,https://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow
Discovery Networks - Grab life by the globe!,https://www.youtube.com/channel/UCqOoboPm3uhY_YXhvhmL-WA
NatGeoWild,https://www.youtube.com/channel/UCDPk9MG2RexnOMGTD-YnSnA
CANVAS classes | Educational YouTube Channel in India,https://www.youtube.com/channel/UCZNNx4KYmCkwxCLdsHyWqQA
"Big think - Get smarter, faster, for success in the knowledge economy",https://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg
Smart Learning for All | Learning YouTube Channel,https://www.youtube.com/channel/UCobgOt3poNKlml3Y5TnVU8Q
AsapSCIENCE,https://www.youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA
CrashCourse | Educational Videos,https://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q
Khan academy,https://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g
MIT OpenCourseWare,https://www.youtube.com/channel/UCEBb1b_L6zDS3xTUrIALZOw
Science Channel | Science Videos,https://www.youtube.com/channel/UCvJiYiBUbw4tmpRSZT2r1Hw
T-Series Kids Hut,https://www.youtube.com/channel/UChz5aEi3dfrDVC8-YJsMUDA/videos
list25,https://www.youtube.com/channel/UCWqJpFqlX59OML324QIByZA
SmarterEveryDay - To teach you something new every day!,https://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA
NASA,https://www.youtube.com/channel/UCLA_DiR1FfKNvjuUpBHmylQ
vlogbrothers | Educational Youtubers,https://www.youtube.com/channel/UCGaVdbSav8xWuFWTadK6loA
Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
The Amagi,https://www.youtube.com/channel/UCkbrlVKUj1hjQ9Bat0CvJLQ/videos
Today I Found Out - Feed Your Brain,https://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA
MindYourDecisions,https://www.youtube.com/channel/UCHnj59g7jezwTy5GeL8EA_g
Amazing Space | Space Videos,https://www.youtube.com/channel/UCakgsb0w7QB0VHdnCc-OVEA
CGPGrey,https://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w
Tech Insider,https://www.youtube.com/channel/UCVLZmDKeT-mV4H3ToYXIFYg/videos
ExamFear Education - Largest Free Learning Platform in India,https://www.youtube.com/channel/UCEg3PHVR0vt3azbs_Qk_6cw
Numberphile,https://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A
Don't Memorise | Indian Educational YouTube Channel,https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/videos
The Backyard Scientist,https://www.youtube.com/channel/UC06E4Y_-ybJgBUMtXx8uNNw
The Organic Chemistry Tutor,https://www.youtube.com/channel/UCEWpbFLzoYGPfuWUMFPSaoA/videos
RealLifeLore - the greatest stories influencing our world today,https://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww/videos
NileRed,https://www.youtube.com/channel/UCFhXFikryT4aFcLkLw2LBLA
minuteearth,https://www.youtube.com/channel/UCeiYXex_fwgYDonaTcSIk6w
BBC Earth Lab,https://www.youtube.com/channel/UCdsOTr6SmDrxuWE7sJFrkhQ
Its okay to be smart,https://www.youtube.com/channel/UCH4BNI0-FOK2dMXoFtViWHw
Sick Science!,https://www.youtube.com/channel/UCDom90xOqP4avehFjSJO6NA
Stanford,https://www.youtube.com/channel/UC-EnprmCZ3OXyAoG7vjVNCA
Astrum,https://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw/videos
Deep Look,https://www.youtube.com/channel/UC-3SbfTPJsL8fJAPKiVqBLg
Mental Floss,https://www.youtube.com/channel/UCpZ5qUqpW4hW4zdfuBxMSJA
Cody'sLab,https://www.youtube.com/channel/UCu6mSoMNzHQiBIOCkHUa2Aw
Ekeeda,https://www.youtube.com/channel/UCltVEZ6GecWntoZ19FvaWhQ/videos
Isaac Arthur - I look at Science and Futurism Concepts,https://www.youtube.com/channel/UCZFipeZtQM5CKUjx6grh54g/videos
PBS Space Time,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g/videos
Computerphile | YouTube Channel for Learning Computer Science,https://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA
Physics Girl | Female Science Youtuber,https://www.youtube.com/channel/UC7DdEm33SyaTDtWYGO2CwdA
Periodic videos | Periodic Table Channel,https://www.youtube.com/channel/UCtESv1e7ntJaLJYKIO1FoYw
New Scientist,https://www.youtube.com/channel/UCt5OA3LingpZBeEyPYmputQ
3Blue1Brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw/videos
"JamesESL - If you TRY, you can do anything!",https://www.youtube.com/channel/UCwA7Aepp7nRUJNa8roQ-6Bw
tecmath | Math Videos,https://www.youtube.com/channel/UCb7w5aTnt7YeXBcVCY0mgFw
Fraser Cain,https://www.youtube.com/channel/UCogrSQkBJn1KF0N9I4oM7eQ
Great Learning,https://www.youtube.com/channel/UCObs0kLIrDjX2LLSybqNaEA
blackpenredpen,https://www.youtube.com/channel/UC_SvYP0k05UKiJ_2ndB02IA
Joe Scott,https://www.youtube.com/channel/UC-2YHgc363EdcusLIBbgxzg
John Michael Godier,https://www.youtube.com/channel/UCEszlI8-W79IsU8LSAiRbDg/videos
L & T - Learning Technology | Civil Engineering YouTube Channel,https://www.youtube.com/channel/UCFBgs2fL5-u-29up4_JF8kw/videos
Physics Videos by Eugene Khutoryansky,https://www.youtube.com/channel/UCJ0yBou72Lz9fqeMXh9mkog
